ablation_variant,load_level,run_id,seed,generated_tasks,completed_tasks,attempted_interactions,successful_cooperations,failed_interactions,blocked_privacy_interactions,cooperation_rate,task_completion_ratio,reliability_score,resource_efficiency,fairness_index,trust_stability_index,privacy_exposure_risk,candidate_privacy_risk,accepted_privacy_exposure,avg_trust,trust_variance,avg_preference,avg_reciprocity,avg_privacy_risk,avg_total_utility,avg_system_utility,avg_social_utility,avg_resource_utility,avg_privacy_utility,avg_incentive_utility,energy_consumed,bandwidth_consumed,compute_consumed,throughput_mbps,packet_delivery_ratio,e2e_delay_ms,active_nodes
full_proposed,extreme,16,1016,10.488000,6.136000,9.452000,6.136000,3.316000,0.958000,0.647507,0.585072,0.588883,0.564702,0.926869,0.684873,0.517725,0.579305,0.517725,0.460970,0.078782,0.573984,0.575466,0.460575,0.716486,0.698706,0.692902,0.977897,0.482275,0.750366,0.095037,0.459178,0.611718,49.088000,0.647507,96.323251,49.208000
full_proposed,extreme,17,1017,10.524000,6.146000,9.460000,6.146000,3.314000,0.966000,0.648867,0.584934,0.590278,0.564470,0.916091,0.681828,0.515620,0.578694,0.515620,0.450805,0.079543,0.567543,0.559392,0.457788,0.716533,0.696476,0.694222,0.977698,0.484380,0.750700,0.095480,0.464192,0.616137,49.168000,0.648867,96.849041,49.064000
full_proposed,extreme,18,1018,10.584000,6.446000,9.676000,6.446000,3.230000,0.776000,0.665680,0.608601,0.616283,0.587231,0.927162,0.678509,0.516747,0.571269,0.516747,0.465231,0.080373,0.578418,0.577172,0.468047,0.720396,0.700152,0.701544,0.977973,0.483253,0.758838,0.096690,0.468710,0.624977,51.568000,0.665680,95.911185,49.138000
full_proposed,extreme,19,1019,10.500000,6.254000,9.520000,6.254000,3.266000,0.940000,0.658312,0.596828,0.599146,0.575946,0.922573,0.694723,0.527611,0.584528,0.527611,0.439030,0.076319,0.562087,0.563773,0.474614,0.714018,0.699452,0.689364,0.977912,0.472389,0.748900,0.095863,0.461937,0.615598,50.032000,0.658312,96.012886,49.554000
full_proposed,extreme,20,1020,10.520000,5.926000,9.214000,5.926000,3.288000,1.240000,0.642913,0.563176,0.566941,0.543915,0.925139,0.688093,0.525826,0.587215,0.525826,0.456403,0.077977,0.571061,0.565383,0.454153,0.712002,0.696101,0.685177,0.977793,0.474174,0.746308,0.092745,0.450774,0.599222,47.408000,0.642913,96.481082,49.314000
full_proposed,extreme,21,1021,10.506000,6.078000,9.394000,6.078000,3.316000,1.018000,0.649442,0.577133,0.582334,0.557330,0.919378,0.685936,0.526723,0.587764,0.526723,0.445684,0.078516,0.563826,0.558110,0.465671,0.711088,0.695863,0.684656,0.977943,0.473277,0.742664,0.094899,0.451790,0.609673,48.624000,0.649442,96.246173,49.256000
full_proposed,extreme,22,1022,10.492000,5.962000,9.274000,5.962000,3.312000,1.122000,0.642724,0.568743,0.573679,0.549250,0.922664,0.681333,0.517565,0.579365,0.517565,0.454956,0.079667,0.568076,0.542028,0.450506,0.714517,0.697098,0.687669,0.977914,0.482435,0.748033,0.093016,0.450353,0.600299,47.696000,0.642724,96.401596,49.148000
full_proposed,extreme,23,1023,10.626000,5.920000,9.236000,5.920000,3.316000,1.320000,0.642808,0.558545,0.562573,0.539473,0.927440,0.694173,0.520308,0.584115,0.520308,0.443324,0.076457,0.562113,0.550846,0.445384,0.711622,0.695053,0.683134,0.977629,0.479692,0.743141,0.093378,0.451838,0.606455,47.360000,0.642808,96.707327,49.322000
full_proposed,extreme,24,1024,10.500000,6.164000,9.328000,6.164000,3.164000,1.088000,0.660915,0.586926,0.591395,0.566618,0.916900,0.682039,0.516883,0.582532,0.516883,0.456126,0.079490,0.570961,0.561531,0.452811,0.715125,0.696627,0.690435,0.977783,0.483117,0.748226,0.094532,0.456571,0.605546,49.312000,0.660915,97.058239,49.184000
full_proposed,extreme,25,1025,10.514000,6.026000,9.268000,6.026000,3.242000,1.172000,0.652410,0.573492,0.577232,0.553790,0.922201,0.687859,0.522093,0.587026,0.522093,0.448224,0.078035,0.564364,0.558900,0.454359,0.713290,0.696470,0.687231,0.977726,0.477907,0.747018,0.093449,0.452566,0.604425,48.208000,0.652410,95.702610,49.216000
