load_level,ablation_variant,metric,mean,std,count,ci95_low,ci95_high
low,full_proposed,failed_interactions,0.268840,0.025376,50,0.261806,0.275874
low,full_proposed,blocked_privacy_interactions,0.000400,0.000808,50,0.000176,0.000624
low,full_proposed,cooperation_rate,0.820420,0.018748,50,0.815223,0.825617
low,full_proposed,task_completion_ratio,0.820340,0.018771,50,0.815137,0.825543
low,full_proposed,reliability_score,0.820340,0.018771,50,0.815137,0.825543
low,full_proposed,resource_efficiency,0.804787,0.018403,50,0.799686,0.809888
low,full_proposed,fairness_index,0.748163,0.022846,50,0.741830,0.754496
low,full_proposed,trust_stability_index,0.795724,0.005418,50,0.794223,0.797226
low,full_proposed,privacy_exposure_risk,0.319405,0.005201,50,0.317964,0.320847
low,full_proposed,candidate_privacy_risk,0.373971,0.007187,50,0.371979,0.375963
low,full_proposed,accepted_privacy_exposure,0.319405,0.005201,50,0.317964,0.320847
low,full_proposed,avg_trust,0.575539,0.008617,50,0.573150,0.577927
low,full_proposed,trust_variance,0.051069,0.001354,50,0.050694,0.051444
low,full_proposed,avg_preference,0.611689,0.007415,50,0.609634,0.613744
low,full_proposed,avg_reciprocity,0.648559,0.018370,50,0.643467,0.653651
low,full_proposed,avg_privacy_risk,0.319366,0.005229,50,0.317917,0.320816
low,full_proposed,avg_total_utility,0.803602,0.003168,50,0.802724,0.804481
low,full_proposed,avg_system_utility,0.815909,0.001965,50,0.815365,0.816454
low,full_proposed,avg_social_utility,0.746978,0.006817,50,0.745088,0.748867
low,full_proposed,avg_resource_utility,0.988712,0.000558,50,0.988557,0.988866
low,full_proposed,avg_privacy_utility,0.680435,0.005203,50,0.678993,0.681877
low,full_proposed,avg_incentive_utility,0.796649,0.005866,50,0.795023,0.798275
low,full_proposed,energy_consumed,0.010683,0.000195,50,0.010629,0.010737
low,full_proposed,bandwidth_consumed,0.034469,0.000589,50,0.034306,0.034632
low,full_proposed,compute_consumed,0.046116,0.000932,50,0.045857,0.046374
low,full_proposed,throughput_mbps,9.822400,0.262215,50,9.749718,9.895082
low,full_proposed,packet_delivery_ratio,0.820420,0.018748,50,0.815223,0.825617
low,full_proposed,e2e_delay_ms,86.212258,1.817818,50,85.708384,86.716131
low,full_proposed,active_nodes,50.000000,0.000000,50,50.000000,50.000000
medium,full_proposed,generated_tasks,4.000400,0.037108,50,3.990114,4.010686
medium,full_proposed,completed_tasks,3.098880,0.044462,50,3.086556,3.111204
medium,full_proposed,attempted_interactions,3.968120,0.038852,50,3.957351,3.978889
medium,full_proposed,successful_cooperations,3.098880,0.044462,50,3.086556,3.111204
medium,full_proposed,failed_interactions,0.869240,0.038362,50,0.858607,0.879873
medium,full_proposed,blocked_privacy_interactions,0.032280,0.013862,50,0.028438,0.036122
medium,full_proposed,cooperation_rate,0.780977,0.009342,50,0.778388,0.783567
medium,full_proposed,task_completion_ratio,0.774724,0.010234,50,0.771887,0.777561
medium,full_proposed,reliability_score,0.774724,0.010234,50,0.771887,0.777561
medium,full_proposed,resource_efficiency,0.755567,0.009936,50,0.752813,0.758321
medium,full_proposed,fairness_index,0.830322,0.012804,50,0.826773,0.833871
medium,full_proposed,trust_stability_index,0.722678,0.005450,50,0.721167,0.724188
medium,full_proposed,privacy_exposure_risk,0.395248,0.005994,50,0.393587,0.396910
medium,full_proposed,candidate_privacy_risk,0.459223,0.006069,50,0.457541,0.460905
medium,full_proposed,accepted_privacy_exposure,0.395248,0.005994,50,0.393587,0.396910
medium,full_proposed,avg_trust,0.530027,0.008768,50,0.527597,0.532458
medium,full_proposed,trust_variance,0.069331,0.001362,50,0.068953,0.069708
medium,full_proposed,avg_preference,0.601579,0.007320,50,0.599550,0.603608
medium,full_proposed,avg_reciprocity,0.624674,0.017519,50,0.619818,0.629530
medium,full_proposed,avg_privacy_risk,0.391646,0.005524,50,0.390115,0.393177
medium,full_proposed,avg_total_utility,0.786825,0.002889,50,0.786024,0.787625
medium,full_proposed,avg_system_utility,0.788082,0.001674,50,0.787618,0.788546
medium,full_proposed,avg_social_utility,0.757035,0.005572,50,0.755490,0.758579
medium,full_proposed,avg_resource_utility,0.985456,0.000081,50,0.985433,0.985478
medium,full_proposed,avg_privacy_utility,0.604752,0.005994,50,0.603090,0.606413
medium,full_proposed,avg_incentive_utility,0.807890,0.004348,50,0.806685,0.809095
medium,full_proposed,energy_consumed,0.033301,0.000400,50,0.033190,0.033412
medium,full_proposed,bandwidth_consumed,0.122044,0.001568,50,0.121610,0.122479
medium,full_proposed,compute_consumed,0.162850,0.002231,50,0.162232,0.163469
medium,full_proposed,throughput_mbps,24.791040,0.355694,50,24.692447,24.889633
medium,full_proposed,packet_delivery_ratio,0.780977,0.009342,50,0.778388,0.783567
medium,full_proposed,e2e_delay_ms,96.226864,0.737041,50,96.022567,96.431162
medium,full_proposed,active_nodes,50.000000,0.000000,50,50.000000,50.000000
extreme,without_incentive,generated_tasks,10.493640,0.046677,50,10.480702,10.506578
extreme,without_incentive,completed_tasks,5.992600,0.127329,50,5.957306,6.027894
extreme,without_incentive,attempted_interactions,9.204080,0.172420,50,9.156287,9.251873
extreme,without_incentive,successful_cooperations,5.992600,0.127329,50,5.957306,6.027894
extreme,without_incentive,failed_interactions,3.211480,0.095938,50,3.184887,3.238073
extreme,without_incentive,blocked_privacy_interactions,1.205480,0.175204,50,1.156916,1.254044
extreme,without_incentive,cooperation_rate,0.651203,0.007605,50,0.649096,0.653311
extreme,without_incentive,task_completion_ratio,0.571062,0.012029,50,0.567728,0.574397
extreme,without_incentive,reliability_score,0.575516,0.012399,50,0.572080,0.578953
extreme,without_incentive,resource_efficiency,0.551544,0.011405,50,0.548383,0.554706
extreme,without_incentive,fairness_index,0.926624,0.006140,50,0.924923,0.928326
extreme,without_incentive,trust_stability_index,0.696532,0.009541,50,0.693887,0.699176
extreme,without_incentive,privacy_exposure_risk,0.528688,0.007607,50,0.526579,0.530796
extreme,without_incentive,candidate_privacy_risk,0.590025,0.004912,50,0.588664,0.591386
extreme,without_incentive,accepted_privacy_exposure,0.528688,0.007607,50,0.526579,0.530796
extreme,without_incentive,avg_trust,0.437797,0.009535,50,0.435154,0.440440
extreme,without_incentive,trust_variance,0.075867,0.002385,50,0.075206,0.076528
extreme,without_incentive,avg_preference,0.562449,0.006432,50,0.560666,0.564232
extreme,without_incentive,avg_reciprocity,0.579189,0.012006,50,0.575861,0.582517
extreme,without_incentive,avg_privacy_risk,0.457351,0.012724,50,0.453824,0.460878
extreme,without_incentive,avg_total_utility,0.670911,0.001755,50,0.670425,0.671398
extreme,without_incentive,avg_system_utility,0.698275,0.002023,50,0.697714,0.698836
extreme,without_incentive,avg_social_utility,0.684426,0.004140,50,0.683278,0.685573
extreme,without_incentive,avg_resource_utility,0.977796,0.000089,50,0.977772,0.977821
extreme,without_incentive,avg_privacy_utility,0.471312,0.007607,50,0.469204,0.473421
extreme,without_incentive,avg_incentive_utility,0.500000,0.000000,50,0.500000,0.500000
extreme,without_incentive,energy_consumed,0.092776,0.001767,50,0.092286,0.093266
extreme,without_incentive,bandwidth_consumed,0.449432,0.008103,50,0.447186,0.451678
