parameter,symbol,group,equation,default,perturbation,value_applied,clipped,simplex_renormalised,cooperation_rate_baseline,cooperation_rate_delta,cooperation_rate_ci_low,cooperation_rate_ci_high,cooperation_rate_n_pairs,cooperation_rate_cohens_dz,cooperation_rate_p_raw,cooperation_rate_significant,task_completion_ratio_baseline,task_completion_ratio_delta,task_completion_ratio_ci_low,task_completion_ratio_ci_high,task_completion_ratio_n_pairs,task_completion_ratio_cohens_dz,task_completion_ratio_p_raw,task_completion_ratio_significant,avg_total_utility_baseline,avg_total_utility_delta,avg_total_utility_ci_low,avg_total_utility_ci_high,avg_total_utility_n_pairs,avg_total_utility_cohens_dz,avg_total_utility_p_raw,avg_total_utility_significant,cooperation_rate_p_holm,cooperation_rate_q_bh,cooperation_rate_holm_significant,cooperation_rate_bh_significant,task_completion_ratio_p_holm,task_completion_ratio_q_bh,task_completion_ratio_holm_significant,task_completion_ratio_bh_significant,avg_total_utility_p_holm,avg_total_utility_q_bh,avg_total_utility_holm_significant,avg_total_utility_bh_significant
nitti_empty_kij_fallback,O_ind^0,external_baseline,Nitti Eq. 6,0.500000,explicit,0.000000,False,,0.653275,-0.016108,-0.018892,-0.013325,20,-2.7088724012569605,2.2067495530905217e-10,True,0.653188,-0.016111,-0.018913,-0.013308,20,-2.690411588079071,2.4773032205528456e-10,True,0.519466,-0.064465,-0.066772,-0.062157,20,-13.073981427328471,6.481833310230425e-23,True,8.826998212362087e-10,8.826998212362087e-10,True,True,9.909212882211383e-10,9.909212882211383e-10,True,True,2.59273332409217e-22,2.59273332409217e-22,True,True
nitti_empty_kij_fallback,O_ind^0,external_baseline,Nitti Eq. 6,0.500000,explicit,0.300000,False,,0.653275,-0.004951,-0.007513,-0.002388,20,-0.9041008379211835,0.0006941002977079454,True,0.653188,-0.004947,-0.007505,-0.002389,20,-0.9052587738880743,0.0006859391831220199,True,0.519466,-0.026890,-0.028598,-0.025183,20,-7.3699200449894375,3.1282346940443542e-18,True,0.002082300893123836,0.0013882005954158909,True,True,0.0020578175493660596,0.0013718783662440399,True,True,6.2564693880887084e-18,4.170979592059139e-18,True,True
nitti_empty_kij_fallback,O_ind^0,external_baseline,Nitti Eq. 6,0.500000,explicit,0.500000,False,,0.653275,0.000000,0.000000,0.000000,20,0.0,1.0,False,0.653188,0.000000,0.000000,0.000000,20,0.0,1.0,False,0.519466,0.000000,0.000000,0.000000,20,0.0,1.0,False,1.0,1.0,False,False,1.0,1.0,False,False,1.0,1.0,False,False
nitti_empty_kij_fallback,O_ind^0,external_baseline,Nitti Eq. 6,0.500000,explicit,0.700000,False,,0.653275,0.004471,-0.000350,0.009292,20,0.43403808958552553,0.06723077858674315,False,0.653188,0.004360,-0.000461,0.009181,20,0.4232653925653417,0.07370600932446894,False,0.519466,0.029266,0.027890,0.030642,20,9.954863292484854,1.1093428171569369e-20,True,0.1344615571734863,0.08964103811565753,False,False,0.14741201864893788,0.09827467909929193,False,False,3.328028451470811e-20,2.2186856343138738e-20,True,True
