parameter,symbol,group,equation,default,perturbation,value_applied,clipped,simplex_renormalised,cooperation_rate_baseline,cooperation_rate_delta,cooperation_rate_ci_low,cooperation_rate_ci_high,cooperation_rate_n_pairs,cooperation_rate_cohens_dz,cooperation_rate_p_raw,cooperation_rate_significant,task_completion_ratio_baseline,task_completion_ratio_delta,task_completion_ratio_ci_low,task_completion_ratio_ci_high,task_completion_ratio_n_pairs,task_completion_ratio_cohens_dz,task_completion_ratio_p_raw,task_completion_ratio_significant,avg_total_utility_baseline,avg_total_utility_delta,avg_total_utility_ci_low,avg_total_utility_ci_high,avg_total_utility_n_pairs,avg_total_utility_cohens_dz,avg_total_utility_p_raw,avg_total_utility_significant,cooperation_rate_p_holm,cooperation_rate_q_bh,cooperation_rate_holm_significant,cooperation_rate_bh_significant,task_completion_ratio_p_holm,task_completion_ratio_q_bh,task_completion_ratio_holm_significant,task_completion_ratio_bh_significant,avg_total_utility_p_holm,avg_total_utility_q_bh,avg_total_utility_holm_significant,avg_total_utility_bh_significant
socialw_qos,v_Q,social_weight,Eq. 47,0.150000,+25%,0.187500,False,social_weight,0.726834,-0.000435,-0.001167,0.000297,20,-0.2781640589733063,0.22863337293986016,False,0.692032,-0.000827,-0.002026,0.000371,20,-0.3231285412183954,0.16472857671379845,False,0.755170,-0.000029,-0.000267,0.000209,20,-0.05790449823964951,0.7984533529446752,False,1.0,0.5848760703112702,False,False,1.0,0.3613699603808988,False,False,1.0,0.8842216447019007,False,False
socialw_qos,v_Q,social_weight,Eq. 47,0.150000,+50%,0.225000,False,social_weight,0.726834,0.000271,-0.001414,0.001955,20,0.0752802146137643,0.7400607540874917,False,0.692032,0.000088,-0.002241,0.002418,20,0.01769860293248652,0.9377405611327533,False,0.755170,0.000182,-0.000304,0.000668,20,0.17515407653063958,0.44309865558401,False,1.0,1.0,False,False,1.0,1.0,False,False,1.0,0.5570383098770412,False,False
utility_weight_system,W_sys,utility_weights,Eq. 46,0.277778,-50%,0.138889,False,utility_total,0.726834,-0.000412,-0.006290,0.005467,20,-0.03278297491371036,0.8849843431786373,False,0.692032,0.001576,-0.005795,0.008948,20,0.1000741537298054,0.6595421219163644,False,0.755170,0.000686,-0.001373,0.002746,20,0.15593022936365744,0.49403469509312736,False,1.0,1.0,False,False,1.0,0.9301235052666678,False,False,1.0,0.6004841597817018,False,False
utility_weight_system,W_sys,utility_weights,Eq. 46,0.277778,-25%,0.208333,False,utility_total,0.726834,-0.003107,-0.007935,0.001720,20,-0.3012836694159352,0.19370697877657722,False,0.692032,-0.000876,-0.007214,0.005462,20,-0.06469927546352439,0.7754518092827316,False,0.755170,-0.000670,-0.002450,0.001109,20,-0.17633497858578145,0.4400786545897681,False,1.0,0.5326941916355874,False,False,1.0,0.9861236881052079,False,False,1.0,0.5564212874123504,False,False
utility_weight_system,W_sys,utility_weights,Eq. 46,0.277778,+25%,0.347222,False,utility_total,0.726834,0.002747,-0.003044,0.008537,20,0.2220191766969367,0.3332362307065086,False,0.692032,0.001790,-0.005278,0.008859,20,0.118543115868043,0.6021554672029247,False,0.755170,-0.000490,-0.001952,0.000971,20,-0.15708345442048616,0.4908862237127591,False,1.0,0.7219020046218252,False,False,1.0,0.8950959647611043,False,False,1.0,0.5999720512044833,False,False
utility_weight_system,W_sys,utility_weights,Eq. 46,0.277778,+50%,0.416667,False,utility_total,0.726834,0.002938,-0.002576,0.008453,20,0.24935345666284295,0.2786960627233568,False,0.692032,0.001546,-0.006199,0.009292,20,0.09344585848765079,0.6807033461932003,False,0.755170,-0.000829,-0.002231,0.000574,20,-0.27642997492660554,0.23143748617465115,False,1.0,0.659281008592887,False,False,1.0,0.9538518226911087,False,False,1.0,0.31624998110821895,False,False
utility_weight_social,W_soc,utility_weights,Eq. 46,0.222222,-50%,0.111111,False,utility_total,0.726834,0.004057,-0.002036,0.010151,20,0.3116334838330668,0.17950695250758592,False,0.692032,0.005484,-0.001279,0.012246,20,0.3795300828424825,0.1059584302891254,False,0.755170,0.003860,0.002043,0.005677,20,0.9943375947018023,0.00027665684379744724,True,1.0,0.504343243800024,False,False,1.0,0.26191971532143354,False,False,0.03485876231847835,0.0006406790066888252,True,True
utility_weight_social,W_soc,utility_weights,Eq. 46,0.222222,-25%,0.166667,False,utility_total,0.726834,0.000784,-0.003696,0.005264,20,0.08187284196821805,0.7183010381176348,False,0.692032,0.000667,-0.005217,0.006551,20,0.05307473459440865,0.8149200896534035,False,0.755170,0.001298,0.000508,0.002089,20,0.7686202375464666,0.0027607678019607286,True,1.0,1.0,False,False,1.0,1.0,False,False,0.3064452260176409,0.005478047285296055,False,True
utility_weight_social,W_soc,utility_weights,Eq. 46,0.222222,+25%,0.277778,False,utility_total,0.726834,-0.000603,-0.005856,0.004650,20,-0.05372463830866963,0.8126989499817121,False,0.692032,-0.000072,-0.006820,0.006676,20,-0.004995317792134757,0.98240989681397,False,0.755170,-0.002557,-0.004215,-0.000899,20,-0.7216836241292618,0.0044324766537767075,True,1.0,1.0,False,False,1.0,1.0,False,False,0.4565450953390009,0.008263939523990472,False,True
utility_weight_social,W_soc,utility_weights,Eq. 46,0.222222,+50%,0.333333,False,utility_total,0.726834,0.001772,-0.003689,0.007234,20,0.15187547167176138,0.5051969454874881,False,0.692032,0.002599,-0.004457,0.009654,20,0.17239063299408022,0.45021564115333546,False,0.755170,-0.002709,-0.004564,-0.000854,20,-0.6834803895101735,0.006492768885385108,True,1.0,0.8907064974434462,False,False,1.0,0.7503594019222258,False,False,0.6492768885385107,0.011734148701714318,False,True
utility_weight_resource,W_res,utility_weights,Eq. 46,0.166667,-50%,0.083333,False,utility_total,0.726834,0.000000,0.000000,0.000000,20,0.0,1.0,False,0.692032,0.000000,0.000000,0.000000,20,0.0,1.0,False,0.755170,-0.022666,-0.022742,-0.022591,20,-140.75140371044623,1.67662276881227e-42,True,1.0,1.0,False,False,1.0,1.0,False,False,3.688570091374376e-40,9.221425228484677e-41,True,True
utility_weight_resource,W_res,utility_weights,Eq. 46,0.166667,-25%,0.125000,False,utility_total,0.726834,0.000000,0.000000,0.000000,20,0.0,1.0,False,0.692032,0.000000,0.000000,0.000000,20,0.0,1.0,False,0.755170,-0.011333,-0.011371,-0.011295,20,-140.7514037104324,1.676622768815396e-42,True,1.0,1.0,False,False,1.0,1.0,False,False,3.688570091374376e-40,9.221425228484677e-41,True,True
utility_weight_resource,W_res,utility_weights,Eq. 46,0.166667,+25%,0.208333,False,utility_total,0.726834,0.000000,0.000000,0.000000,20,0.0,1.0,False,0.692032,0.000000,0.000000,0.000000,20,0.0,1.0,False,0.755170,0.011333,0.011295,0.011371,20,140.75140371047152,1.6766227688065346e-42,True,1.0,1.0,False,False,1.0,1.0,False,False,3.688570091374376e-40,9.221425228484677e-41,True,True
utility_weight_resource,W_res,utility_weights,Eq. 46,0.166667,+50%,0.250000,False,utility_total,0.726834,0.000000,0.000000,0.000000,20,0.0,1.0,False,0.692032,0.000000,0.000000,0.000000,20,0.0,1.0,False,0.755170,0.022666,0.022591,0.022742,20,140.7514037104608,1.676622768808968e-42,True,1.0,1.0,False,False,1.0,1.0,False,False,3.688570091374376e-40,9.221425228484677e-41,True,True
utility_weight_privacy,W_priv,utility_weights,Eq. 46,0.166667,-50%,0.083333,False,utility_total,0.726834,0.002614,-0.002676,0.007903,20,0.23127713288768287,0.3139807066356032,False,0.692032,0.003474,-0.002495,0.009444,20,0.2724085954030468,0.2380417310316105,False,0.755170,0.022711,0.021391,0.024031,20,8.052499205023581,5.961980711874429e-19,True,1.0,0.7121211903075537,False,False,1.0,0.46344407811463995,False,False,1.138738315968016e-16,4.372119188707915e-18,True,True
utility_weight_privacy,W_priv,utility_weights,Eq. 46,0.166667,-25%,0.125000,False,utility_total,0.726834,0.000920,-0.004426,0.006266,20,0.08053012915894639,0.7227135594270292,False,0.692032,0.000943,-0.004168,0.006055,20,0.08638401282696859,0.7035510833119437,False,0.755170,0.010920,0.009716,0.012124,20,4.2446157162517295,8.210395826693097e-14,True,1.0,1.0,False,False,1.0,0.9587629654641903,False,False,1.436819269671292e-11,3.9267110475488726e-13,True,True
utility_weight_privacy,W_priv,utility_weights,Eq. 46,0.166667,+25%,0.208333,False,utility_total,0.726834,-0.000633,-0.005428,0.004161,20,-0.06181219438133299,0.7852004898654338,False,0.692032,0.001105,-0.004936,0.007147,20,0.08563308988309362,0.7059981836599947,False,0.755170,-0.011407,-0.012762,-0.010052,20,-3.940183630177729,3.1405953782129743e-13,True,1.0,1.0,False,False,1.0,0.9587629654641903,False,False,5.4332300043084456e-11,1.4394395483476131e-12,True,True
utility_weight_privacy,W_priv,utility_weights,Eq. 46,0.166667,+50%,0.250000,False,utility_total,0.726834,-0.002121,-0.008059,0.003817,20,-0.1671663230535165,0.4638600706469158,False,0.692032,-0.000988,-0.007858,0.005881,20,-0.06731919285977789,0.7666381761690111,False,0.755170,-0.022763,-0.024435,-0.021091,20,-6.371805655706368,4.7135701800495635e-17,True,1.0,0.8497230327967595,False,False,1.0,0.9828960492537293,False,False,8.720104833091692e-15,2.880515110030289e-16,True,True
utility_weight_incentive,W_inc,utility_weights,Eq. 46,0.166667,-50%,0.083333,False,utility_total,0.726834,0.001131,-0.003722,0.005983,20,0.10904534415745108,0.6313662878066453,False,0.692032,-0.001017,-0.006438,0.004405,20,-0.0877661448602064,0.6990556845299796,False,0.755170,-0.004456,-0.005812,-0.003100,20,-1.5375614841171592,1.4693620878241005e-06,True,1.0,0.9851105199819996,False,False,1.0,0.9587629654641903,False,False,0.00021452686482231867,4.310128790950695e-06,True,True
utility_weight_incentive,W_inc,utility_weights,Eq. 46,0.166667,-25%,0.125000,False,utility_total,0.726834,0.001624,-0.002588,0.005837,20,0.18045624378253958,0.4296394533509041,False,0.692032,0.000826,-0.004390,0.006041,20,0.07408694336453593,0.7440240661749713,False,0.755170,-0.002121,-0.003244,-0.000998,20,-0.884169325631994,0.0008508402158780717,True,1.0,0.8291287696245518,False,False,1.0,0.9828960492537293,False,False,0.1021008259053686,0.0018533153217146115,False,True
utility_weight_incentive,W_inc,utility_weights,Eq. 46,0.166667,+25%,0.208333,False,utility_total,0.726834,-0.000705,-0.004293,0.002884,20,-0.0918840509704927,0.685730147212972,False,0.692032,0.003227,-0.001473,0.007927,20,0.32130666527503504,0.16700272020887,False,0.755170,0.001502,0.000291,0.002713,20,0.5805355926077721,0.017727073988476175,True,1.0,1.0,False,False,1.0,0.3613699603808988,False,False,1.0,0.030468408417693427,False,True
utility_weight_incentive,W_inc,utility_weights,Eq. 46,0.166667,+50%,0.250000,False,utility_total,0.726834,0.001838,-0.003297,0.006973,20,0.1675598142338522,0.462823784705975,False,0.692032,0.004716,-0.001800,0.011232,20,0.3387276471147352,0.14627330921412163,False,0.755170,0.004081,0.002237,0.005924,20,1.0360893512569265,0.00018118375464181645,True,1.0,0.8497230327967595,False,False,1.0,0.3283686533378241,False,False,0.02301033683951069,0.0004240470853319108,True,True
utility_alpha_success,alpha_s,utility_terms,Eq. 40,0.700000,-50%,0.350000,False,system_utility,0.726834,-0.000170,-0.005173,0.004834,20,-0.01586801170990206,0.9441681173396546,False,0.692032,0.000721,-0.005311,0.006754,20,0.055967946309813534,0.8050447381592227,False,0.755170,0.007410,0.005986,0.008834,20,2.434965314932442,1.3113378934542625e-09,True,1.0,1.0,False,False,1.0,1.0,False,False,2.09814062952682e-07,4.729415353441603e-09,True,True
utility_alpha_success,alpha_s,utility_terms,Eq. 40,0.700000,-25%,0.525000,False,system_utility,0.726834,-0.000590,-0.006129,0.004948,20,-0.04989265301335631,0.8258181879149593,False,0.692032,0.000232,-0.005888,0.006352,20,0.017752639906688746,0.9375508913329774,False,0.755170,0.003300,0.001912,0.004689,20,1.1124071969266638,8.4096958077826e-05,True,1.0,1.0,False,False,1.0,1.0,False,False,0.011016701508195205,0.00020557034196801909,True,True
utility_alpha_success,alpha_s,utility_terms,Eq. 40,0.700000,+25%,0.875000,False,system_utility,0.726834,-0.000405,-0.005337,0.004528,20,-0.03839558581279138,0.8654809501813322,False,0.692032,0.000288,-0.004225,0.004801,20,0.02987394412995581,0.8951235493028454,False,0.755170,-0.004524,-0.005760,-0.003289,20,-1.7137855974733691,3.149235343882973e-07,True,1.0,1.0,False,False,1.0,1.0,False,False,4.6923606623856295e-05,9.62266355075353e-07,True,True
utility_alpha_success,alpha_s,utility_terms,Eq. 40,0.700000,+50%,1.000000,True,system_utility,0.726834,0.001420,-0.003325,0.006165,20,0.1400555901067536,0.5385399783382642,False,0.692032,0.002777,-0.003780,0.009333,20,0.19821714510245328,0.38645575074628535,False,0.755170,-0.006646,-0.008141,-0.005151,20,-2.08067707948258,1.6575212791888696e-08,True,1.0,0.8937893546800261,False,False,1.0,0.6781522900435134,False,False,2.5857331955346365e-06,5.61007202187002e-08,True,True
utility_alpha_delay,alpha_delay,utility_terms,Eq. 40,0.300000,-50%,0.150000,False,system_utility,0.726834,0.001193,-0.004430,0.006816,20,0.09927586627021304,0.6620756149139426,False,0.692032,0.001951,-0.004463,0.008364,20,0.1423386939166564,0.5320076153167406,False,0.755170,-0.003430,-0.004804,-0.002057,20,-1.169141510254865,4.7838420765387246e-05,True,1.0,1.0,False,False,1.0,0.8242371504907248,False,False,0.006458186803327278,0.00012237735544633945,True,True
utility_alpha_delay,alpha_delay,utility_terms,Eq. 40,0.300000,-25%,0.225000,False,system_utility,0.726834,-0.000681,-0.005597,0.004235,20,-0.06484735053699228,0.7749528245297564,False,0.692032,0.000449,-0.004854,0.005753,20,0.03965760633808033,0.8611072206095943,False,0.755170,-0.002643,-0.003689,-0.001597,20,-1.1823972295128913,4.19686933875452e-05,True,1.0,1.0,False,False,1.0,1.0,False,False,0.005707742300706147,0.00010862485347364639,True,True
utility_alpha_delay,alpha_delay,utility_terms,Eq. 40,0.300000,+25%,0.375000,False,system_utility,0.726834,0.000365,-0.005648,0.006378,20,0.02840994827410545,0.9002333232978662,False,0.692032,0.000843,-0.005509,0.007195,20,0.06210036521756186,0.7842257684860537,False,0.755170,0.000952,-0.000630,0.002534,20,0.28171578365148,0.22297172286941286,False,1.0,1.0,False,False,1.0,0.9915498222237461,False,False,1.0,0.31046695589411916,False,False
utility_alpha_delay,alpha_delay,utility_terms,Eq. 40,0.300000,+50%,0.450000,False,system_utility,0.726834,-0.000443,-0.006367,0.005481,20,-0.03498786133659533,0.8773128171817063,False,0.692032,0.000021,-0.006683,0.006726,20,0.0014958951679171835,0.9947320573637276,False,0.755170,0.003000,0.001385,0.004616,20,0.8691076022325088,0.000992352272071787,True,1.0,1.0,False,False,1.0,1.0,False,False,0.11808992037654265,0.0021403676456450307,False,True
utility_beta_trust,beta_T,utility_terms,Eq. 41,0.400000,-50%,0.200000,False,social_utility,0.726834,0.000432,-0.004542,0.005406,20,0.04063984643661493,0.8577062888975452,False,0.692032,0.005065,-0.000890,0.011021,20,0.3980580793371147,0.09104670034050633,False,0.755170,0.005608,0.004118,0.007098,20,1.7616122545306006,2.103403111605259e-07,True,1.0,1.0,False,False,1.0,0.24193001807689174,False,False,3.176138698523941e-05,6.610695493616529e-07,True,True
utility_beta_trust,beta_T,utility_terms,Eq. 41,0.400000,-25%,0.300000,False,social_utility,0.726834,0.002899,-0.003285,0.009083,20,0.2194120554807744,0.3388045400095469,False,0.692032,0.005753,-0.002638,0.014144,20,0.32087580065927435,0.16754425435841672,False,0.755170,0.002877,0.001267,0.004488,20,0.8359975240748709,0.0013914006685502608,True,1.0,0.7236601825446632,False,False,1.0,0.3613699603808988,False,False,0.16279387822038052,0.00294334756808709,False,True
utility_beta_trust,beta_T,utility_terms,Eq. 41,0.400000,+25%,0.500000,False,social_utility,0.726834,0.004209,-0.000127,0.008545,20,0.4543211624658823,0.05639846946692543,False,0.692032,0.001241,-0.004331,0.006813,20,0.10423799754843674,0.6463963796597927,False,0.755170,-0.003110,-0.004360,-0.001861,20,-1.164837710883203,4.991927569179938e-05,True,1.0,0.20340431611022286,False,False,1.0,0.9234233995139896,False,False,0.006647821650499272,0.00012479818922949846,True,True
utility_beta_trust,beta_T,utility_terms,Eq. 41,0.400000,+50%,0.600000,False,social_utility,0.726834,-0.002653,-0.008263,0.002957,20,-0.2213309016906681,0.3347000203246644,False,0.692032,-0.006890,-0.013268,-0.000513,20,-0.5056834801520839,0.035650318663726664,True,0.755170,-0.007581,-0.008824,-0.006337,20,-2.8529553590896386,9.135852423439375e-11,True,1.0,0.7219020046218252,False,False,1.0,0.11204385865742665,False,False,1.4982797974440573e-08,3.5261184792222147e-10,True,True
utility_beta_preference,beta_P,utility_terms,Eq. 41,0.300000,-50%,0.150000,False,social_utility,0.726834,0.001285,-0.002374,0.004944,20,0.16439046406918306,0.47121004546002115,False,0.692032,0.003990,-0.001094,0.009075,20,0.3672849362676906,0.11692391462886771,False,0.755170,0.001427,0.000021,0.002834,20,0.4749553502654928,0.04701417164985168,True,1.0,0.8497230327967595,False,False,1.0,0.2826732002016582,False,False,1.0,0.07387941259262407,False,False
utility_beta_preference,beta_P,utility_terms,Eq. 41,0.300000,-25%,0.225000,False,social_utility,0.726834,-0.000060,-0.004650,0.004530,20,-0.0061300380909153854,0.978415141662009,False,0.692032,0.002485,-0.003166,0.008136,20,0.20582856638635832,0.3688552457942739,False,0.755170,0.000373,-0.000844,0.001589,20,0.14338591646023163,0.5290258937259693,False,1.0,1.0,False,False,1.0,0.6597410900385388,False,False,1.0,0.639481849558864,False,False
utility_beta_preference,beta_P,utility_terms,Eq. 41,0.300000,+25%,0.375000,False,social_utility,0.726834,0.002142,-0.001959,0.006243,20,0.2444858789683265,0.28789876203609316,False,0.692032,0.002286,-0.001934,0.006506,20,0.2535687062883167,0.27090291088437624,False,0.755170,-0.001278,-0.002331,-0.000226,20,-0.5683914064581485,0.01989684868623322,True,1.0,0.6738056132759628,False,False,1.0,0.5008289108786788,False,False,1.0,0.03393261016256828,False,True
utility_beta_preference,beta_P,utility_terms,Eq. 41,0.300000,+50%,0.450000,False,social_utility,0.726834,-0.002003,-0.006487,0.002481,20,-0.20909382732385778,0.36147231188124385,False,0.692032,-0.003647,-0.009879,0.002585,20,-0.27386987487252584,0.23562544584447984,False,0.755170,-0.003035,-0.004227,-0.001843,20,-1.1919880489283778,3.8184772214715335e-05,True,1.0,0.7432140991950807,False,False,1.0,0.46283569719451395,False,False,0.005231313793416001,0.00010000773675282587,True,True
utility_beta_reciprocity,beta_R,utility_terms,Eq. 41,0.300000,-50%,0.150000,False,social_utility,0.726834,0.001562,-0.003288,0.006411,20,0.15071413556330732,0.5084202334666666,False,0.692032,-0.004670,-0.011030,0.001691,20,-0.34359959881753477,0.14087171067682722,False,0.755170,-0.007555,-0.008741,-0.006369,20,-2.9817458178260066,4.2785158343211006e-11,True,1.0,0.8907064974434462,False,False,1.0,0.31950284895775244,False,False,7.059551126629816e-09,1.6808455063404323e-10,True,True
utility_beta_reciprocity,beta_R,utility_terms,Eq. 41,0.300000,-25%,0.225000,False,social_utility,0.726834,-0.000460,-0.005100,0.004180,20,-0.0464459234329488,0.8376636484169596,False,0.692032,-0.003277,-0.009412,0.002858,20,-0.24996340242933363,0.27755829815413297,False,0.755170,-0.004814,-0.006286,-0.003342,20,-1.5305300580843675,1.5652197326070108e-06,True,1.0,1.0,False,False,1.0,0.5088568799492438,False,False,0.00022695686122801656,4.530899225967663e-06,True,True
utility_beta_reciprocity,beta_R,utility_terms,Eq. 41,0.300000,+25%,0.375000,False,social_utility,0.726834,0.003437,-0.001719,0.008593,20,0.31197195756628776,0.17905704712343115,False,0.692032,0.007707,0.001892,0.013521,20,0.6202653242157918,0.012090869995015668,True,0.755170,0.003713,0.002329,0.005097,20,1.2553629336595358,2.0554588391498644e-05,True,1.0,0.504343243800024,False,False,1.0,0.044488642596529786,False,True,0.0028570877864183115,5.5146456660118306e-05,True,True
utility_beta_reciprocity,beta_R,utility_terms,Eq. 41,0.300000,+50%,0.450000,False,social_utility,0.726834,-0.000952,-0.005834,0.003931,20,-0.0912378030631028,0.6878145685984272,False,0.692032,0.004000,-0.001742,0.009742,20,0.3260153464939279,0.16117678353296655,False,0.755170,0.005672,0.004258,0.007087,20,1.876871116528799,8.15242040443913e-08,True,1.0,1.0,False,False,1.0,0.358170630073259,False,False,1.255472742283626e-05,2.6769141626516545e-07,True,True
utility_gamma_energy,gamma_E,utility_terms,Eq. 42,0.400000,-50%,0.200000,False,resource_utility,0.726834,0.000000,0.000000,0.000000,20,0.0,1.0,False,0.692032,0.000000,0.000000,0.000000,20,0.0,1.0,False,0.755170,-0.000733,-0.000736,-0.000731,20,-130.85290158819095,6.700758211021852e-42,True,1.0,1.0,False,False,1.0,1.0,False,False,1.447363773544585e-39,1.8427085080838835e-40,True,True
utility_gamma_energy,gamma_E,utility_terms,Eq. 42,0.400000,-25%,0.300000,False,resource_utility,0.726834,0.000000,0.000000,0.000000,20,0.0,1.0,False,0.692032,0.000000,0.000000,0.000000,20,0.0,1.0,False,0.755170,-0.000367,-0.000368,-0.000365,20,-130.85290158834354,6.700758210873359e-42,True,1.0,1.0,False,False,1.0,1.0,False,False,1.447363773544585e-39,1.8427085080838835e-40,True,True
utility_gamma_energy,gamma_E,utility_terms,Eq. 42,0.400000,+25%,0.500000,False,resource_utility,0.726834,0.000000,0.000000,0.000000,20,0.0,1.0,False,0.692032,0.000000,0.000000,0.000000,20,0.0,1.0,False,0.755170,0.000367,0.000365,0.000368,20,130.85290158836287,6.70075821085456e-42,True,1.0,1.0,False,False,1.0,1.0,False,False,1.447363773544585e-39,1.8427085080838835e-40,True,True
utility_gamma_energy,gamma_E,utility_terms,Eq. 42,0.400000,+50%,0.600000,False,resource_utility,0.726834,0.000000,0.000000,0.000000,20,0.0,1.0,False,0.692032,0.000000,0.000000,0.000000,20,0.0,1.0,False,0.755170,0.000733,0.000731,0.000736,20,130.8529015879933,6.700758211214123e-42,True,1.0,1.0,False,False,1.0,1.0,False,False,1.447363773544585e-39,1.8427085080838835e-40,True,True
utility_gamma_bandwidth,gamma_B,utility_terms,Eq. 42,0.300000,-50%,0.150000,False,resource_utility,0.726834,0.000000,0.000000,0.000000,20,0.0,1.0,False,0.692032,0.000000,0.000000,0.000000,20,0.0,1.0,False,0.755170,0.000315,0.000312,0.000317,20,55.81934419091125,7.163380366432045e-35,True,1.0,1.0,False,False,1.0,1.0,False,False,1.4899831161259462e-32,9.849648004144745e-34,True,True
utility_gamma_bandwidth,gamma_B,utility_terms,Eq. 42,0.300000,-25%,0.225000,False,resource_utility,0.726834,0.000000,0.000000,0.000000,20,0.0,1.0,False,0.692032,0.000000,0.000000,0.000000,20,0.0,1.0,False,0.755170,0.000157,0.000156,0.000159,20,55.81934419082154,7.163380366650724e-35,True,1.0,1.0,False,False,1.0,1.0,False,False,1.4899831161259462e-32,9.849648004144745e-34,True,True
utility_gamma_bandwidth,gamma_B,utility_terms,Eq. 42,0.300000,+25%,0.375000,False,resource_utility,0.726834,0.000000,0.000000,0.000000,20,0.0,1.0,False,0.692032,0.000000,0.000000,0.000000,20,0.0,1.0,False,0.755170,-0.000157,-0.000159,-0.000156,20,-55.81934419109255,7.163380365990127e-35,True,1.0,1.0,False,False,1.0,1.0,False,False,1.4899831161259462e-32,9.849648004144745e-34,True,True
utility_gamma_bandwidth,gamma_B,utility_terms,Eq. 42,0.300000,+50%,0.450000,False,resource_utility,0.726834,0.000000,0.000000,0.000000,20,0.0,1.0,False,0.692032,0.000000,0.000000,0.000000,20,0.0,1.0,False,0.755170,-0.000315,-0.000317,-0.000312,20,-55.81934419096354,7.163380366304577e-35,True,1.0,1.0,False,False,1.0,1.0,False,False,1.4899831161259462e-32,9.849648004144745e-34,True,True
utility_gamma_compute,gamma_C,utility_terms,Eq. 42,0.300000,-50%,0.150000,False,resource_utility,0.726834,0.000000,0.000000,0.000000,20,0.0,1.0,False,0.692032,0.000000,0.000000,0.000000,20,0.0,1.0,False,0.755170,0.000314,0.000311,0.000316,20,59.330710231285416,2.248298925411896e-35,True,1.0,1.0,False,False,1.0,1.0,False,False,4.766393721673855e-33,4.121881363346067e-34,True,True
utility_gamma_compute,gamma_C,utility_terms,Eq. 42,0.300000,-25%,0.225000,False,resource_utility,0.726834,0.000000,0.000000,0.000000,20,0.0,1.0,False,0.692032,0.000000,0.000000,0.000000,20,0.0,1.0,False,0.755170,0.000157,0.000156,0.000158,20,59.33071023126427,2.2482989254271223e-35,True,1.0,1.0,False,False,1.0,1.0,False,False,4.766393721673855e-33,4.121881363346067e-34,True,True
utility_gamma_compute,gamma_C,utility_terms,Eq. 42,0.300000,+25%,0.375000,False,resource_utility,0.726834,0.000000,0.000000,0.000000,20,0.0,1.0,False,0.692032,0.000000,0.000000,0.000000,20,0.0,1.0,False,0.755170,-0.000157,-0.000158,-0.000156,20,-59.330710231216514,2.248298925461491e-35,True,1.0,1.0,False,False,1.0,1.0,False,False,4.766393721673855e-33,4.121881363346067e-34,True,True
utility_gamma_compute,gamma_C,utility_terms,Eq. 42,0.300000,+50%,0.450000,False,resource_utility,0.726834,0.000000,0.000000,0.000000,20,0.0,1.0,False,0.692032,0.000000,0.000000,0.000000,20,0.0,1.0,False,0.755170,-0.000314,-0.000316,-0.000311,20,-59.330710231416056,2.2482989253178562e-35,True,1.0,1.0,False,False,1.0,1.0,False,False,4.766393721673855e-33,4.121881363346067e-34,True,True
utility_delta_privacy,delta,utility_terms,Eq. 43,1.000000,-50%,0.500000,False,,0.726834,0.003174,-0.003686,0.010035,20,0.21653760508556702,0.34501821514441655,False,0.692032,0.004904,-0.002608,0.012417,20,0.30551457533699616,0.1877977784578546,False,0.755170,0.039717,0.038225,0.041209,20,12.457013224629721,1.6157668279916738e-22,True,1.0,0.7257964838054373,False,False,1.0,0.3880534647678995,False,False,3.215375987703431e-20,1.6157668279916736e-21,True,True
utility_delta_privacy,delta,utility_terms,Eq. 43,1.000000,-25%,0.750000,False,,0.726834,0.003302,-0.002823,0.009426,20,0.2522896270214977,0.27325044773867024,False,0.692032,0.006323,-0.001279,0.013924,20,0.3892943808326667,0.09785707845574564,False,0.755170,0.019771,0.018295,0.021248,20,6.267118319480812,6.412424436148837e-17,True,1.0,0.653424983722907,False,False,1.0,0.2518908236671483,False,False,1.179886096251386e-14,3.81279290798039e-16,True,True
utility_delta_privacy,delta,utility_terms,Eq. 43,1.000000,+25%,1.250000,False,,0.726834,-0.002490,-0.008728,0.003747,20,-0.18684812565914713,0.41375934334570125,False,0.692032,-0.002202,-0.009400,0.004997,20,-0.143151416450792,0.5296927785720943,False,0.755170,-0.021034,-0.022445,-0.019624,20,-6.98073987108329,8.614504479409704e-18,True,1.0,0.8200635633878763,False,False,1.0,0.8242371504907248,False,False,1.6281413466084342e-15,5.922471829594171e-17,True,True
utility_delta_privacy,delta,utility_terms,Eq. 43,1.000000,+50%,1.500000,False,,0.726834,0.001806,-0.003935,0.007547,20,0.14720536638125173,0.5182292348761869,False,0.692032,0.002533,-0.003791,0.008857,20,0.18743862098660385,0.4123114597649953,False,0.755170,-0.037544,-0.039295,-0.035793,20,-10.03462018459704,9.5457367008102e-21,True,1.0,0.8907064974434462,False,False,1.0,0.7086603214710856,False,False,1.8709643933587995e-18,8.400248296712977e-20,True,True
utility_eta_resource,eta_res,utility_terms,Eq. 44,0.500000,-50%,0.250000,False,fairness_utility,0.726834,0.000000,0.000000,0.000000,20,0.0,1.0,False,0.692032,0.000000,0.000000,0.000000,20,0.0,1.0,False,0.755170,0.000000,0.000000,0.000000,20,0.0,1.0,False,1.0,1.0,False,False,1.0,1.0,False,False,1.0,1.0,False,False
