attack,fraction,variant,observed,mechanical,trajectory,mechanical_share_pct,traj_ci_low,traj_ci_high,traj_p
bad_mouthing,0.2,all_pairs,0.01046408,0.01071088,-0.0002467999999999987,102.3585446594445,-0.0020674592018774677,0.0015738592018774702,0.7864525506856488
bad_mouthing,0.2,evidenced,0.019337399999999998,0.019679320000000004,-0.00034192000000000044,101.7681797966635,-0.0033801872150062543,0.0026963472150062537,0.8220229695356951
bad_mouthing,0.3,all_pairs,0.012943199999999998,0.010873839999999997,0.0020693599999999997,84.01199085233944,-0.0002388586144046103,0.00437757861440461,0.07775933371422183
bad_mouthing,0.3,evidenced,0.02472636,0.02303822,0.0016881400000000007,93.1727112280174,-0.001309948802712939,0.00468622880271294,0.26333723209891735
bad_mouthing,0.4,all_pairs,0.012335340000000002,0.011424439999999998,0.0009109000000000006,92.61552579823496,-0.001565875604796073,0.003387675604796074,0.4633875102075636
bad_mouthing,0.4,evidenced,0.026429559999999998,0.026154219999999995,0.00027533999999999865,98.95821194147764,-0.003855815989714842,0.0044064959897148395,0.8940006535179429
ballot_stuffing,0.2,all_pairs,0.010603220000000002,0.009389699999999999,0.0012135199999999998,88.5551747488027,-0.00026011738348800635,0.002687157383488006,0.10434568099079419
ballot_stuffing,0.2,evidenced,0.018325059999999994,0.0173775,0.0009475599999999991,94.8291574488706,-0.0015641837474444438,0.0034593037474444422,0.4520124899235402
ballot_stuffing,0.3,all_pairs,0.007123400000000001,0.008263180000000002,-0.0011397800000000006,116.000505376646,-0.0030860893726654464,0.0008065293726654452,0.24494890239872275
ballot_stuffing,0.3,evidenced,0.01491466,0.01613672,-0.001222060000000001,108.19368326197178,-0.00470400774197291,0.002259887741972908,0.4839623817027093
ballot_stuffing,0.4,all_pairs,0.00824428,0.007062500000000002,0.0011817799999999986,85.66545532175037,-0.0006554580049464697,0.003019018004946467,0.20220002997245054
ballot_stuffing,0.4,evidenced,0.01583702,0.01610822,-0.00027119999999999965,101.71244337634226,-0.003923809144709612,0.0033814091447096125,0.8820022940272652
collusion,0.2,all_pairs,0.012409080000000001,0.011630220000000002,0.0007788599999999994,93.72346700964134,-0.0010169255786448548,0.002574645578644854,0.3876860122315948
collusion,0.2,evidenced,0.019311739999999997,0.01815352,0.0011582199999999993,94.00250831877398,-0.0013346216042779652,0.0036510616042779638,0.35504447710348724
collusion,0.3,all_pairs,0.012368960000000002,0.01238726,-1.830000000000054e-05,100.14795099992237,-0.0019688904483090883,0.0019322904483090873,0.9850346305970387
collusion,0.3,evidenced,0.01875934,0.01856626,0.0001930799999999995,98.97075270238719,-0.002472913064555413,0.002859073064555412,0.8848815483142167
collusion,0.4,all_pairs,0.01099054,0.01320716,-0.00221662,120.16843576384782,-0.004610886966904921,0.00017764696690492163,0.06882562020353594
collusion,0.4,evidenced,0.014454880000000003,0.019002460000000002,-0.004547579999999999,131.4605171402322,-0.008101636953505508,-0.0009935230464944906,0.013216505755097403
none,0.0,all_pairs,0.010253620000000001,0.0099354,0.00031822000000000073,96.89651069573478,-0.0008772724866457353,0.001513712486645737,0.5951277891127563
none,0.0,evidenced,0.01685088,0.017250099999999997,-0.00039922000000000097,102.36913443096147,-0.002267062634140409,0.001468622634140407,0.6694327928160418
selective,0.2,all_pairs,0.012690659999999998,0.011812179999999999,0.0008784799999999979,93.0777437895271,-0.0011602348461451925,0.0029171948461451883,0.3907521459649194
selective,0.2,evidenced,0.01858054,0.0186338,-5.3259999999999975e-05,100.28664398343642,-0.0029680429578769437,0.002861522957876944,0.9708576841826425
selective,0.3,all_pairs,0.0144385,0.01308842,0.0013500800000000005,90.64944419434153,-0.0004800430664190869,0.0031802030664190876,0.14462082934266904
selective,0.3,evidenced,0.02046142,0.01909308,0.0013683399999999998,93.3125853435392,-0.0011201821024102861,0.003856862102410286,0.27456198907739066
selective,0.4,all_pairs,0.012421559999999998,0.01342772,-0.0010061600000000012,108.10010980907393,-0.0030906893515814425,0.0010783693515814402,0.3368196710803063
selective,0.4,evidenced,0.01747406,0.01908462,-0.0016105600000000002,109.21686202290711,-0.004090916025485455,0.0008697960254854546,0.19803224598881905
