attack,fraction,metric,mean_fixed,mean_adaptive,n,mean_diff,ci_low,ci_high,t,p,d_z,p_holm,pct_change
bad_mouthing,0.2,decision_distortion,0.09532484000000001,0.08486075999999997,50,0.01046408,0.008302548891788709,0.012625611108211292,9.728454042348112,4.980419117881567e-13,1.3758111647612061,2.4902095589407835e-12,10.977285668667308
bad_mouthing,0.2,decision_distortion_evidenced,0.08852685999999999,0.06918946,50,0.019337399999999998,0.0156792481879069,0.022995551812093094,10.622839670568046,2.6073504318416964e-14,1.5022963933032274,,21.843539915456162
bad_mouthing,0.2,decision_distortion_counterfactual,0.08461396,0.09566988000000003,50,-0.011055919999999999,-0.013123777704771532,-0.008988062295228465,-10.744309438901462,1.760011650671731e-14,-1.5194748126827706,,-13.066307261827745
bad_mouthing,0.2,cooperation_rate,0.71971596,0.72310244,50,-0.003386479999999996,-0.006757615023995656,-1.5344976004336413e-05,-2.0187225669078335,0.04900596987480286,-0.2854904832789686,,-0.4705300685564857
bad_mouthing,0.2,task_completion_ratio,0.6712361600000001,0.6753102,50,-0.004074040000000008,-0.008017166118034696,-0.00013091388196532008,-2.07629420261977,0.043133885071176124,-0.293632342082151,,-0.6069458474942544
bad_mouthing,0.2,reputation_separation,-0.1779782,-0.18409563999999995,50,0.0061174399999999966,-0.03261602534164213,0.04485090534164212,0.31738590467420075,0.7522993105048607,0.0448851450896309,,-3.437185003556585
bad_mouthing,0.3,decision_distortion,0.10847926000000001,0.09553606,50,0.012943199999999998,0.010554139259919047,0.01533226074008095,10.887263673476053,1.1109097549567331e-14,1.5396915944161758,6.6654585297404e-14,11.931497320317266
bad_mouthing,0.3,decision_distortion_evidenced,0.09787335999999998,0.073147,50,0.02472636,0.020818198328779944,0.028634521671220055,12.714284858341284,3.90811497187941e-17,1.7980714082541132,,25.26362638413556
bad_mouthing,0.3,decision_distortion_counterfactual,0.09760542000000001,0.10660342,50,-0.008998,-0.011370434702535043,-0.006625565297464959,-7.621772672759922,7.266806724528223e-10,-1.0778814283141716,,-9.218750352183303
bad_mouthing,0.3,cooperation_rate,0.7173116199999998,0.71957222,50,-0.0022605999999999993,-0.005895146331409056,0.0013739463314090573,-1.2499072420114579,0.21727033635744547,-0.17676357733609543,,-0.3151489446107354
bad_mouthing,0.3,task_completion_ratio,0.6656568600000001,0.6681447199999999,50,-0.0024878600000000062,-0.0074435605934707605,0.0024678405934707485,-1.008846631297978,0.3180042146524135,-0.14267245883360097,,-0.37374511546381206
bad_mouthing,0.3,reputation_separation,-0.28289384,-0.2530427,50,-0.029851139999999988,-0.06073384678448751,0.0010315667844875316,-1.942449933637627,0.057841337336205,-0.27470390403810513,,10.552064336218844
bad_mouthing,0.4,decision_distortion,0.12092194,0.1085866,50,0.012335340000000002,0.00953421299160033,0.015136467008399674,8.849578662886845,9.89041293990549e-12,1.2515194166342134,3.956165175962196e-11,10.201076826918259
bad_mouthing,0.4,decision_distortion_evidenced,0.10767468,0.08124512,50,0.026429559999999998,0.02139270742876591,0.03146641257123409,10.544717867572672,3.360451691441525e-14,1.4912483019719174,,24.5457520746753
bad_mouthing,0.4,decision_distortion_counterfactual,0.1094975,0.11987142,50,-0.010373919999999998,-0.012918247185868191,-0.007829592814131805,-8.193589590108527,9.679068217100752e-11,-1.158748552285049,,-9.474115847393785
bad_mouthing,0.4,cooperation_rate,0.71534014,0.71951714,50,-0.004176999999999999,-0.0073088049756343,-0.0010451950243656983,-2.680242170503848,0.009992462775957193,-0.37904348279708433,,-0.5839180225507807
