node_count,run_id,seed,steps,load_level,baseline_name,initialization_wall_seconds,simulation_wall_seconds,simulation_cpu_seconds,wall_ms_per_step,cpu_ms_per_step,peak_rss_mib,initial_mean_degree,final_mean_degree,generated_tasks_per_step,attempted_interactions_per_step,cooperation_rate,task_completion_ratio,final_active_nodes,python_version,platform
50,0,7000,500,high,proposed,0.000537832995178178,1.2806681669899262,1.278734,2.5613363339798525,2.5574679999999996,144.28125,4.0,4.28,7.04,6.56,0.7414634146341463,0.6909090909090909,50,3.13.13,macOS-26.6.1-arm64-arm-64bit-Mach-O
50,1,7001,500,high,proposed,0.0005415000050561503,1.2609212910028873,1.2593899999999998,2.5218425820057746,2.5187799999999996,144.359375,4.0,4.44,7.058,6.664,0.7421968787515006,0.7007650892604137,50,3.13.13,macOS-26.6.1-arm64-arm-64bit-Mach-O
50,2,7002,500,high,proposed,0.0005173329991521314,1.2621730419923551,1.261311,2.5243460839847103,2.522622,144.59375,4.0,4.56,6.946,6.574,0.7325829023425616,0.6933486898934639,50,3.13.13,macOS-26.6.1-arm64-arm-64bit-Mach-O
50,3,7003,500,high,proposed,0.0005425839917734265,1.3125898339931155,1.311243,2.625179667986231,2.622486,145.078125,4.0,4.64,7.0,6.67,0.7262368815592204,0.692,50,3.13.13,macOS-26.6.1-arm64-arm-64bit-Mach-O
50,4,7004,500,high,proposed,0.0005246670043561608,1.3031573339976603,1.3020489999999998,2.6063146679953206,2.6040979999999996,145.546875,4.0,4.44,7.044,6.798,0.7322741982936157,0.7067007382169223,50,3.13.13,macOS-26.6.1-arm64-arm-64bit-Mach-O
50,5,7005,500,high,proposed,0.0005323750083334744,1.3100811249896651,1.308705,2.6201622499793302,2.61741,145.546875,4.0,4.04,6.988,6.638,0.7252184392889425,0.6888952489982828,50,3.13.13,macOS-26.6.1-arm64-arm-64bit-Mach-O
50,6,7006,500,high,proposed,0.0005382919916883111,1.336794208997162,1.335871,2.673588417994324,2.671742,144.828125,4.0,4.44,6.988,6.55,0.7163358778625954,0.6714367487120778,50,3.13.13,macOS-26.6.1-arm64-arm-64bit-Mach-O
50,7,7007,500,high,proposed,0.0005388749996200204,1.2923974169971189,1.291067,2.5847948339942377,2.582134,145.25,4.0,5.0,6.956,6.608,0.7185230024213075,0.682576193214491,50,3.13.13,macOS-26.6.1-arm64-arm-64bit-Mach-O
50,8,7008,500,high,proposed,0.0005179580039111897,1.298231416993076,1.2973590000000002,2.596462833986152,2.5947180000000003,145.9375,4.0,4.6,7.012,6.7,0.7170149253731344,0.6851112378779236,50,3.13.13,macOS-26.6.1-arm64-arm-64bit-Mach-O
50,9,7009,500,high,proposed,0.0005374169995775446,1.2893851250119042,1.288305,2.5787702500238083,2.57661,145.09375,4.0,5.0,6.942,6.668,0.7279544091181763,0.6992221261884183,50,3.13.13,macOS-26.6.1-arm64-arm-64bit-Mach-O
50,10,7010,500,high,proposed,0.0005323340010363609,1.314981000003172,1.311668,2.629962000006344,2.623336,144.75,4.0,4.6,7.004,6.754,0.721942552561445,0.6961736150770989,50,3.13.13,macOS-26.6.1-arm64-arm-64bit-Mach-O
50,11,7011,500,high,proposed,0.0005199589941184968,1.3206367090024287,1.318566,2.6412734180048574,2.637132,145.65625,4.0,4.6,7.014,6.654,0.7234746017433122,0.6863416025092672,50,3.13.13,macOS-26.6.1-arm64-arm-64bit-Mach-O
