node_count,runs,steps_per_run,load_level,baseline_name,wall_ms_per_step_mean,wall_ms_per_step_sd,wall_ms_per_step_ci95_low,wall_ms_per_step_ci95_high,wall_ms_per_step_median,cpu_ms_per_step_mean,cpu_ms_per_step_sd,cpu_ms_per_step_ci95_low,cpu_ms_per_step_ci95_high,cpu_ms_per_step_median,peak_rss_mib_mean,peak_rss_mib_sd,peak_rss_mib_ci95_low,peak_rss_mib_ci95_high,peak_rss_mib_median,initialization_wall_seconds_mean,initialization_wall_seconds_sd,initialization_wall_seconds_ci95_low,initialization_wall_seconds_ci95_high,initialization_wall_seconds_median,final_mean_degree_mean,final_mean_degree_sd,final_mean_degree_ci95_low,final_mean_degree_ci95_high,final_mean_degree_median,generated_tasks_per_step_mean,generated_tasks_per_step_sd,generated_tasks_per_step_ci95_low,generated_tasks_per_step_ci95_high,generated_tasks_per_step_median,attempted_interactions_per_step_mean,attempted_interactions_per_step_sd,attempted_interactions_per_step_ci95_low,attempted_interactions_per_step_ci95_high,attempted_interactions_per_step_median,cooperation_rate_mean,cooperation_rate_sd,cooperation_rate_ci95_low,cooperation_rate_ci95_high,cooperation_rate_median,task_completion_ratio_mean,task_completion_ratio_sd,task_completion_ratio_ci95_low,task_completion_ratio_ci95_high,task_completion_ratio_median,final_active_nodes_mean,final_active_nodes_sd,final_active_nodes_ci95_low,final_active_nodes_ci95_high,final_active_nodes_median
25,20,500,high,proposed,1.7665250663994811,0.03067151963996411,1.7521703533411865,1.7808797794577758,1.7617473749996861,1.7607997999999998,0.025456394534472807,1.7488858406223573,1.7727137593776423,1.757799,145.02109375,0.524685521218174,144.77553336722997,145.26665413277004,145.171875,0.0003912376501830295,1.339866673321985e-05,0.0003849668811250633,0.0003975084192409957,0.00038866700197104365,3.716,0.35157390478577305,3.5514583476389534,3.880541652361047,3.76,7.004899999999999,0.04173840841290079,6.9853658235617235,7.024434176438275,7.005,6.0001999999999995,0.07716257614864042,5.964086802725962,6.036313197274037,6.029999999999999,0.666153664649682,0.010968902658709388,0.6610200601827882,0.6712872691165757,0.6658379744702918,0.57061806291742,0.011964508790156333,0.565018500437889,0.576217625396951,0.5697158565629725,23.15,1.1821033884786185,22.596758584314202,23.703241415685795,23.5
50,20,500,high,proposed,2.6111101627975586,0.048516304041461095,2.588403833559906,2.633816492035211,2.610652666000533,2.6066633999999995,0.04639815053528258,2.584948397118247,2.628378402881752,2.606692,145.22890625,0.6142219308902225,144.9414415376043,145.51637096239568,145.140625,0.000543620900134556,2.90354128755843e-05,0.0005300319086124321,0.0005572098916566798,0.0005376249973778613,4.508000000000001,0.24143431056042844,4.395005264453659,4.6209947355463425,4.5,6.992700000000001,0.03443544685349668,6.976583714781057,7.008816285218945,6.988,6.6581,0.07605116006589535,6.622506961464214,6.693693038535787,6.659,0.726739118549462,0.010170448304942561,0.7219792022229998,0.7314990348759243,0.7249150738858093,0.6919713008171624,0.012381539847782804,0.6861765617947377,0.6977660398395871,0.6917370972341033,50.0,0.0,50.0,50.0,50.0
100,20,500,high,proposed,4.331583433196647,0.08259821010907335,4.292926280921101,4.370240585472192,4.341306250003981,4.322537700000001,0.07884019182671799,4.285639354420186,4.359436045579815,4.332497,145.82578125,0.4752367776805551,145.60336359158492,146.0481989084151,145.7890625,0.0009030001507198904,3.1051862991850525e-05,0.0008884674314935268,0.000917532869946254,0.0008940625048126094,4.441999999999999,0.1607744415404127,4.366755245174969,4.51724475482503,4.41,6.9836,0.0456282460993764,6.962245323485818,7.004954676514182,6.975,6.9366,0.047568676115364195,6.914337174283687,6.958862825716314,6.920999999999999,0.7378496171612821,0.00870410621305721,0.7337759700585621,0.741923264264002,0.7394011722463922,0.7328903038538552,0.009324279915150295,0.728526406524073,0.7372542011836375,0.7329641434262948,100.0,0.0,100.0,100.0,100.0
200,20,500,high,proposed,8.386588949797442,0.3709006030950266,8.213002124199132,8.560175775395752,8.28056195800309,8.360271299999999,0.34644938642859124,8.198127996056076,8.522414603943922,8.268436000000001,146.70625,0.666866660654216,146.3941467956527,147.01835320434733,146.859375,0.0014651396013505291,6.286611437379588e-05,0.0014357173541479503,0.001494561848553108,0.0014476875003310852,4.4465,0.08567226413551385,4.406404146153967,4.486595853846033,4.43,7.001099999999998,0.03887618673091332,6.98290538454326,7.019294615456737,6.9990000000000006,6.992,0.04070949714617871,6.9729473688574775,7.0110526311425225,6.993,0.7359520382275659,0.008885476002851486,0.731793507450333,0.7401105690047989,0.737375988205474,0.7349958089982804,0.008997974626817796,0.7307846272443288,0.7392069907522321,0.7365349693171814,200.0,0.0,200.0,200.0,200.0
400,20,500,high,proposed,22.07725723759504,2.35476082362576,20.97519524846495,23.179319226725134,21.488377249988844,22.03874,2.352671723684373,20.93765573973893,23.139824260261072,21.443862,147.80859375,0.5657316479496055,147.54382318859192,148.07336431140808,147.671875,0.0037679750530514866,0.0003141895962953495,0.0036209297956380044,0.003915020310464969,0.003663021001557354,4.467249999999999,0.06018556829987519,4.439082286977087,4.495417713022911,4.4575,6.9963,0.03762012339440846,6.978693240280122,7.013906759719878,6.993,6.9928,0.038609516143589484,6.974730190219898,7.010869809780102,6.992000000000001,0.7365083411647827,0.008433969769355697,0.7325611218094141,0.7404555605201513,0.7359309568513364,0.7361397206729448,0.008464181472232659,0.7321783618053873,0.7401010795405022,0.7358255909079416,400.0,0.0,400.0,400.0,400.0
