family,load_level,attack,attacker_fraction,focal,comparator,n_pairs,mean_focal,mean_comparator,mean_difference,median_difference,ci95_low,ci95_high,t_statistic,p_raw,cohens_dz,common_language_probability,p_holm,q_bh,holm_significant_0_05,bh_significant_0_05,relative_difference_pct
ablation,extreme,none,0.0,full_proposed,without_incentive,50,0.64877166,0.65120346,-0.0024317999999999996,-0.0028000000000000247,-0.005335194888715304,0.000471594888715305,-1.6831623836787954,0.09870553562339905,-0.23803510706747794,0.38,1.0,0.145460789339746,False,False,-0.37343167679115213
ablation,extreme,none,0.0,full_proposed,without_preference,50,0.64877166,0.6415717200000001,0.007199940000000009,0.007821000000000022,0.0044080413714424555,0.009991838628557563,5.182430688857672,4.1260423538478865e-06,0.7329063766241062,0.76,7.839480472310984e-05,1.1552918590774081e-05,True,True,1.122234627174653
ablation,extreme,none,0.0,full_proposed,without_privacy_gate,50,0.64877166,0.6439496,0.004822060000000004,0.004669999999999952,0.0018076449551812984,0.00783647504481871,3.2146510098559524,0.002312815993817932,0.4546203056434654,0.68,0.03237942391345105,0.004317256521793473,True,True,0.7488256844945635
ablation,extreme,none,0.0,full_proposed,without_reciprocity,50,0.64877166,0.6485031600000001,0.00026849999999999596,0.0013394999999999935,-0.0031970358971804462,0.0037340358971804386,0.1556962522327895,0.8769121046213597,0.02201877515182732,0.58,1.0,0.8769121046213597,False,False,0.04140303649406981
ablation,extreme,none,0.0,full_proposed,without_resource_awareness,50,0.64877166,0.5394059,0.10936576,0.11084549999999999,0.10593131488133214,0.11280020511866787,63.99249820333893,6.918713576695113e-49,9.049905884929784,1.0,1.7988655299407295e-47,6.457466004915439e-48,True,True,20.275225020712604
ablation,extreme,none,0.0,full_proposed,without_social_graph_adaptation,50,0.64877166,0.6471448799999999,0.0016267800000000032,0.0022090000000000165,-0.0015997272401505117,0.004853287240150518,1.0132122945754205,0.31593592578709545,0.1432898568551723,0.54,1.0,0.4049435762757436,False,False,0.2513780221826067
ablation,extreme,none,0.0,full_proposed,without_trust,50,0.64877166,0.6328330000000001,0.01593866,0.017224000000000017,0.013184396496807338,0.01869292350319266,11.629220084387041,1.0634107438956544e-15,1.6446200763161742,0.92,2.2331625621808743e-14,3.7219376036347905e-15,True,True,2.518620236302468
ablation,high,none,0.0,full_proposed,without_incentive,50,0.7291026199999999,0.7262538599999999,0.0028487600000000057,0.00321699999999997,-0.0004797640450886734,0.006177284045088684,1.719920744142253,0.09175787736764837,0.24323352425728,0.58,1.0,0.1427344759052308,False,False,0.39225402533488857
ablation,high,none,0.0,full_proposed,without_preference,50,0.7291026199999999,0.7234166999999999,0.005685920000000004,0.006445500000000048,0.0027154468265605434,0.008656393173439464,3.846620846290152,0.00034631257317466684,0.5439943370130605,0.76,0.0055410011707946695,0.0007459040037608209,True,True,0.7859813023393025
ablation,high,none,0.0,full_proposed,without_privacy_gate,50,0.7291026199999999,0.72842464,0.0006779799999999981,-0.0004035000000000011,-0.002449644931780641,0.003805604931780637,0.435618671991209,0.665026447337738,0.061605783395292456,0.48,1.0,0.7448296210182666,False,False,0.09307483063725
ablation,high,none,0.0,full_proposed,without_reciprocity,50,0.7291026199999999,0.7151415,0.013961119999999995,0.0148895,0.010388485680260507,0.017533754319739484,7.853006639827488,3.207545549114266e-10,1.1105828495449999,0.9,6.415091098228532e-09,9.979030597244384e-10,True,True,1.9522178477965544
ablation,high,none,0.0,full_proposed,without_resource_awareness,50,0.7291026199999999,0.58817294,0.14092968,0.14059150000000004,0.13747244811041937,0.14438691188958064,81.91778976645413,4.2953918186683314e-54,11.584924928734738,1.0,1.2027097092271328e-52,1.2027097092271328e-52,True,True,23.96058546998099
ablation,high,none,0.0,full_proposed,without_social_graph_adaptation,50,0.7291026199999999,0.72587334,0.003229280000000003,0.0036694999999999367,0.0003996046755583571,0.006058955324441649,2.2933659793768832,0.026156049224368167,0.32433092715198436,0.61,0.34002863991678617,0.04577308614264429,False,True,0.4448820230813275
ablation,high,none,0.0,full_proposed,without_trust,50,0.7291026199999999,0.70331578,0.02578684000000001,0.0249645,0.022633579002940996,0.028940100997059022,16.433969517951677,1.4246807485802695e-21,2.32411425759133,1.0,3.1342976468765926e-20,5.698722994321078e-21,True,True,3.666466860732175
ablation,low,none,0.0,full_proposed,without_incentive,50,0.8204199999999999,0.82158,-0.0011600000000000076,0.0009999999999999454,-0.0035826470106491625,0.0012626470106491476,-0.9622149924537731,0.34066618344802146,-0.13607774922468513,0.53,1.0,0.4147240494149827,False,False,-0.14119136298352047
ablation,low,none,0.0,full_proposed,without_preference,50,0.8204199999999999,0.81646,0.003959999999999979,0.004999999999999949,0.0017318575924635433,0.006188142407536415,3.5715481704019467,0.000807342618057065,0.5050931861251247,0.73,0.012110139270855975,0.00161468523611413,True,True,0.48502069911569207
ablation,low,none,0.0,full_proposed,without_privacy_gate,50,0.8204199999999999,0.82068,-0.00026000000000000025,0.0,-0.0022009897508270763,0.001680989750827076,-0.2691871821739215,0.7889159262138205,-0.038068816384735686,0.5,1.0,0.8181350345921101,False,False,-0.03168104498708391
ablation,low,none,0.0,full_proposed,without_reciprocity,50,0.8204199999999999,0.8134599999999998,0.006959999999999979,0.008500000000000008,0.004082319420357026,0.009837680579642932,4.860387823917152,1.2465893765619875e-05,0.6873626378976692,0.77,0.00022438608778115775,3.1731365948850594e-05,True,True,0.8556044550438843
ablation,low,none,0.0,full_proposed,without_resource_awareness,50,0.8204199999999999,0.67782,0.14259999999999995,0.14400000000000002,0.1365887980992083,0.1486112019007916,47.67190214936702,1.0163444626826448e-42,6.741825056375793,1.0,2.540861156706612e-41,7.114411238778513e-42,True,True,21.038033696261536
ablation,low,none,0.0,full_proposed,without_social_graph_adaptation,50,0.8204199999999999,0.82018,0.00024000000000000022,0.0,-9.753832667651284e-05,0.0005775383266765133,1.4288690166235205,0.15938605197461628,0.20207259421636903,0.58,1.0,0.2231404727644628,False,False,0.029261869345753398
ablation,low,none,0.0,full_proposed,without_trust,50,0.8204199999999999,0.7868999999999999,0.03351999999999995,0.03299999999999992,0.030377143695487545,0.03666285630451236,21.433039064451453,1.5276327247815518e-26,3.0310894527819596,0.98,3.5135552669975694e-25,7.128952715647241e-26,True,True,4.2597534629558975
ablation,medium,none,0.0,full_proposed,without_incentive,50,0.7809773200000002,0.78232468,-0.001347359999999993,-0.0030834999999999613,-0.0040321667988962185,0.0013374467988962328,-1.008497629181955,0.31816995278808424,-0.14262310248102333,0.4,1.0,0.4049435762757436,False,False,-0.1722251687112815
ablation,medium,none,0.0,full_proposed,without_preference,50,0.7809773200000002,0.7778687200000001,0.003108599999999999,0.0026335000000000663,-0.00019946811160912554,0.006416668111609123,1.8884029504160587,0.06489933976432707,0.26706050637037576,0.54,0.7787920771719249,0.10689303020006813,False,False,0.3996304157853267
ablation,medium,none,0.0,full_proposed,without_privacy_gate,50,0.7809773200000002,0.78164468,-0.0006673600000000013,-0.001833000000000029,-0.004227112217286525,0.002892392217286522,-0.37674255071406454,0.70799153442629,-0.05327944247428636,0.42,1.0,0.7624524216898508,False,False,-0.085378947375424
ablation,medium,none,0.0,full_proposed,without_reciprocity,50,0.7809773200000002,0.7728366600000001,0.008140660000000004,0.008933500000000039,0.004567323425161715,0.011713996574838294,4.5781494150544315,3.231035900558936e-05,0.6474480993340428,0.76,0.0005492761030950192,7.539083767970851e-05,True,True,1.0533480645185753
ablation,medium,none,0.0,full_proposed,without_resource_awareness,50,0.7809773200000002,0.63487268,0.14610464,0.14653350000000004,0.14175058587373449,0.15045869412626553,67.43330653666206,5.467324667778204e-50,9.536509665980976,1.0,1.476177660300115e-48,7.654254534889484e-49,True,True,23.01321896541524
ablation,medium,none,0.0,full_proposed,without_social_graph_adaptation,50,0.7809773200000002,0.77991462,0.0010627000000000008,0.00045000000000006146,-0.0015534344257980821,0.003678834425798084,0.8163095838799497,0.4182739961409386,0.11544360846181624,0.59,1.0,0.487986328831095,False,False,0.13625850480915475
ablation,medium,none,0.0,full_proposed,without_trust,50,0.7809773200000002,0.7471653,0.03381202000000001,0.034516500000000006,0.030777195348934496,0.03684684465106553,22.389365423620887,2.1851471134612996e-27,3.1663344235011897,1.0,5.244353072307119e-26,1.2236823835383279e-26,True,True,4.525373434767382
