family,load_level,attack,attacker_fraction,focal,comparator,n_pairs,mean_focal,mean_comparator,mean_difference,median_difference,ci95_low,ci95_high,t_statistic,p_raw,cohens_dz,common_language_probability,p_holm,q_bh,holm_significant_0_05,bh_significant_0_05,relative_difference_pct
benign,extreme,none,0.0,proposed,game_theoretic_social,100,0.6493876000000001,0.63421131,0.015176290000000004,0.014625500000000013,0.012976670817198164,0.017375909182801845,13.690120597072587,1.4295467317912402e-24,1.3690120597072588,0.89,7.147733658956201e-24,1.6678045204231136e-24,True,True,2.3929390347832182
benign,extreme,none,0.0,proposed,greedy_utility,100,0.6493876000000001,0.6316775299999999,0.01771007,0.018492500000000023,0.015421225588148423,0.01999891441185158,15.352996877299661,6.165014806318231e-28,1.535299687729966,0.92,4.315510364422761e-27,7.846382480768657e-28,True,True,2.803656796213727
benign,extreme,none,0.0,proposed,honesty_based_social,100,0.6493876000000001,0.61498593,0.034401669999999995,0.036014500000000005,0.0322197693445217,0.03658357065547829,31.284823443035425,3.962878138021646e-53,3.1284823443035426,1.0,4.7554537656259756e-52,6.5270934038003585e-53,True,True,5.593895457087936
benign,extreme,none,0.0,proposed,nitti_subjective_trust,100,0.6493876000000001,0.58556304,0.06382456000000002,0.06462150000000005,0.06177089713668833,0.0658782228633117,61.666292039446596,8.417753172147816e-81,6.16662920394466,1.0,1.8519056978725196e-79,2.9781552465419123e-80,True,True,10.899690663536417
benign,extreme,none,0.0,proposed,non_agentic_static,100,0.6493876000000001,0.50233014,0.14705746,0.14726649999999997,0.1447938980331716,0.1493210219668284,128.9091746836919,4.389755279880337e-112,12.890917468369192,1.0,1.1852339255676911e-110,6.145657391832472e-111,True,True,29.27506201399741
benign,extreme,none,0.0,proposed,standard_marl_no_social,100,0.6493876000000001,0.64242249,0.006965110000000005,0.007317500000000032,0.004956518577238632,0.008973701422761379,6.88058764717028,5.46531147882504e-10,0.6880587647170281,0.75,1.093062295765008e-09,5.667730422485227e-10,True,True,1.0841946084421805
benign,extreme,none,0.0,proposed,trust_unaware,100,0.6493876000000001,0.61101744,0.038370160000000014,0.039148000000000016,0.036362903175502774,0.040377416824497254,37.929736234003194,8.942716589010516e-61,3.7929736234003197,1.0,1.4308346542416826e-59,1.9261235730176495e-60,True,True,6.27971600941538
benign,high,none,0.0,proposed,game_theoretic_social,100,0.7276923599999999,0.7114022899999999,0.01629007000000001,0.016439999999999955,0.013852599884415749,0.018727540115584272,13.260894084349225,1.1122785257576209e-23,1.3260894084349224,0.9,4.4491141030304835e-23,1.2457519488485354e-23,True,True,2.2898534667353982
benign,high,none,0.0,proposed,greedy_utility,100,0.7276923599999999,0.7254266800000001,0.0022656800000000034,0.0032174999999999843,2.314978189877151e-05,0.004508210218101235,2.004700149225539,0.04772580143763282,0.2004700149225539,0.57,0.04772580143763282,0.04772580143763282,True,True,0.3123237761257972
benign,high,none,0.0,proposed,honesty_based_social,100,0.7276923599999999,0.6885615199999998,0.03913084000000001,0.041398500000000005,0.03681051377340898,0.041451166226591035,33.46256882675018,8.960365882350426e-56,3.346256882675018,1.0,1.1648475647055554e-54,1.5680640294113247e-55,True,True,5.682983853062254
benign,high,none,0.0,proposed,nitti_subjective_trust,100,0.7276923599999999,0.65329161,0.07440075,0.0754785,0.07200651289553418,0.07679498710446582,61.65940252341074,8.50901499011975e-81,6.165940252341073,1.0,1.8519056978725196e-79,2.9781552465419123e-80,True,True,11.388597199342572
benign,high,none,0.0,proposed,non_agentic_static,100,0.7276923599999999,0.56345227,0.16424009,0.1637905,0.16194769772144496,0.16653248227855505,142.1606475282212,2.8694328807901835e-116,14.216064752822119,1.0,8.034412066212514e-115,8.034412066212514e-115,True,True,29.148891351524775
benign,high,none,0.0,proposed,standard_marl_no_social,100,0.7276923599999999,0.7029359700000002,0.024756390000000003,0.025552499999999978,0.022419864128368872,0.027092915871631134,21.02354152996915,2.7356405092906574e-38,2.102354152996915,0.99,2.4620764583615915e-37,3.8298967130069204e-38,True,True,3.5218556250578548
benign,high,none,0.0,proposed,trust_unaware,100,0.7276923599999999,0.674516,0.05317636000000002,0.05334549999999999,0.050852501596660604,0.055500218403339435,45.404416544501046,4.3241729954584625e-68,4.540441654450105,1.0,7.783511391825233e-67,1.1006985806621541e-67,True,True,7.88363211547243
benign,low,none,0.0,proposed,game_theoretic_social,100,0.8192099999999998,0.79163,0.02757999999999995,0.028999999999999915,0.02545634003909847,0.029703659960901428,25.769051793735866,1.0722606119338321e-45,2.576905179373587,0.98,1.072260611933832e-44,1.5801735333761735e-45,True,True,3.483950835617643
benign,low,none,0.0,proposed,greedy_utility,100,0.8192099999999998,0.8059700000000001,0.013239999999999969,0.014999999999999958,0.011405081217874447,0.01507491878212549,14.317272619866273,7.401988414298086e-26,1.4317272619866275,0.935,4.441193048578851e-25,9.011116330449844e-26,True,True,1.6427410449520414
