model,attack,fraction,defense,load,run_id,adaptive_mu,generated_tasks,completed_tasks,attempted_interactions,successful_cooperations,failed_interactions,blocked_privacy_interactions,cooperation_rate,task_completion_ratio,reliability_score,resource_efficiency,fairness_index,trust_stability_index,privacy_exposure_risk,candidate_privacy_risk,accepted_privacy_exposure,avg_trust,trust_variance,avg_preference,avg_reciprocity,avg_privacy_risk,avg_total_utility,avg_system_utility,avg_social_utility,avg_resource_utility,avg_privacy_utility,avg_incentive_utility,energy_consumed,bandwidth_consumed,compute_consumed,throughput_mbps,packet_delivery_ratio,e2e_delay_ms,active_nodes,reputation_honest,reputation_attacker,reputation_separation,attacker_defection_rate,whitewash_events,decision_distortion,decision_distortion_evidenced,decision_distortion_counterfactual,decision_distortion_counterfactual_evidenced
greedy_utility,bad_mouthing,0.1,True,high,18,True,7.042000,5.072000,7.042000,5.072000,1.970000,0.000000,0.721131,0.721131,0.721131,0.698802,0.937390,0.753496,0.500000,0.500000,0.500000,0.626579,0.061626,0.660943,0.693860,0.500000,0.806687,0.751289,0.623855,0.981914,0.500000,0.601514,0.065330,0.276602,0.364588,40.576000,0.721131,97.015644,50.000000,0.739938,0.854112,-0.114174,0.000000,0.000000,0.083050,0.066729,0.095255,0.086072
greedy_utility,bad_mouthing,0.1,True,high,19,True,7.052000,5.120000,7.052000,5.120000,1.932000,0.000000,0.725071,0.725071,0.725071,0.702643,0.938861,0.751086,0.500000,0.500000,0.500000,0.622459,0.062228,0.662761,0.706495,0.500000,0.804119,0.748044,0.622041,0.981950,0.500000,0.600936,0.065233,0.275218,0.367232,40.960000,0.725071,98.192501,50.000000,0.761298,0.581711,0.179587,0.000000,0.000000,0.086947,0.073519,0.099572,0.095195
greedy_utility,bad_mouthing,0.1,True,high,2,True,7.018000,5.028000,7.018000,5.028000,1.990000,0.000000,0.716500,0.716500,0.716500,0.694031,0.928424,0.739967,0.500000,0.500000,0.500000,0.622338,0.065008,0.664714,0.707670,0.500000,0.804815,0.749393,0.622693,0.981715,0.500000,0.601222,0.064933,0.279034,0.368892,40.224000,0.716500,96.973789,50.000000,0.720765,0.839726,-0.118961,0.000000,0.000000,0.077208,0.056354,0.085232,0.070913
greedy_utility,bad_mouthing,0.1,True,high,20,True,6.950000,5.022000,6.950000,5.022000,1.928000,0.000000,0.721845,0.721845,0.721845,0.699335,0.920755,0.749817,0.500000,0.500000,0.500000,0.628552,0.062546,0.666683,0.703072,0.500000,0.804213,0.748228,0.623114,0.981800,0.500000,0.600956,0.064376,0.274601,0.363312,40.176000,0.721845,98.020959,50.000000,0.796576,0.781183,0.015393,0.000000,0.000000,0.075749,0.053584,0.084593,0.068524
greedy_utility,bad_mouthing,0.1,True,high,21,True,6.992000,5.142000,6.992000,5.142000,1.850000,0.000000,0.735464,0.735464,0.735464,0.712532,0.919052,0.756769,0.500000,0.500000,0.500000,0.621917,0.060808,0.658609,0.693136,0.500000,0.802807,0.747147,0.621346,0.981868,0.500000,0.600895,0.065170,0.272557,0.365244,41.136000,0.735464,97.541353,50.000000,0.750676,0.855354,-0.104678,0.000000,0.000000,0.079380,0.060946,0.088166,0.076566
greedy_utility,bad_mouthing,0.1,True,high,22,True,6.954000,5.064000,6.954000,5.064000,1.890000,0.000000,0.727464,0.727464,0.727464,0.704926,0.926484,0.759788,0.500000,0.500000,0.500000,0.630324,0.060053,0.670736,0.717915,0.500000,0.805582,0.749886,0.623713,0.981961,0.500000,0.601268,0.064045,0.269758,0.362876,40.512000,0.727464,97.608186,50.000000,0.744674,0.830645,-0.085971,0.000000,0.000000,0.080402,0.062833,0.091365,0.081338
greedy_utility,bad_mouthing,0.1,True,high,23,True,7.062000,5.138000,7.062000,5.138000,1.924000,0.000000,0.727155,0.727155,0.727155,0.704552,0.930049,0.761230,0.500000,0.500000,0.500000,0.623035,0.059693,0.663748,0.726404,0.500000,0.807785,0.752643,0.626178,0.981852,0.500000,0.601740,0.064962,0.279013,0.367405,41.104000,0.727155,96.654399,50.000000,0.682473,0.763086,-0.080614,0.000000,0.000000,0.075248,0.049905,0.083952,0.065500
greedy_utility,bad_mouthing,0.1,True,high,24,True,7.044000,5.068000,7.044000,5.068000,1.976000,0.000000,0.720155,0.720155,0.720155,0.697823,0.931538,0.741338,0.500000,0.500000,0.500000,0.620849,0.064665,0.663835,0.709282,0.500000,0.804966,0.749578,0.623480,0.981895,0.500000,0.601284,0.065544,0.275104,0.367697,40.544000,0.720155,96.997165,50.000000,0.695711,0.848528,-0.152817,0.000000,0.000000,0.083211,0.069188,0.096703,0.094736
greedy_utility,bad_mouthing,0.1,True,high,25,True,7.010000,5.064000,7.010000,5.064000,1.946000,0.000000,0.722012,0.722012,0.722012,0.699743,0.924999,0.754511,0.500000,0.500000,0.500000,0.633297,0.061372,0.670523,0.697722,0.500000,0.805960,0.750528,0.622669,0.982011,0.500000,0.601421,0.064724,0.272993,0.362157,40.512000,0.722012,97.410593,50.000000,0.724603,0.751547,-0.026944,0.000000,0.000000,0.080810,0.059614,0.088832,0.073594
greedy_utility,bad_mouthing,0.1,True,high,26,True,6.972000,5.078000,6.972000,5.078000,1.894000,0.000000,0.727964,0.727964,0.727964,0.705428,0.924122,0.745371,0.500000,0.500000,0.500000,0.619162,0.063657,0.661860,0.713774,0.500000,0.803577,0.748096,0.621223,0.981948,0.500000,0.601075,0.064230,0.273717,0.359995,40.624000,0.727964,96.954633,50.000000,0.644420,0.809745,-0.165325,0.000000,0.000000,0.082593,0.069181,0.095147,0.090224
